timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:52:09.415, P0, 61, 100 %, 74.68 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:09.619, P0, 61, 100 %, 74.76 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:09.823, P0, 63, 80 %, 70.48 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:10.028, P0, 63, 1 %, 21.31 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:10.231, P0, 63, 58 %, 73.39 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:10.436, P0, 60, 100 %, 74.07 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:10.640, P0, 60, 100 %, 74.92 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:10.845, P0, 60, 100 %, 75.03 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:11.048, P0, 62, 100 %, 75.10 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:11.252, P0, 62, 100 %, 75.09 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:11.457, P0, 62, 100 %, 75.07 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:11.660, P0, 63, 68 %, 36.70 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:11.870, P0, 63, 2 %, 22.69 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:12.075, P0, 63, 28 %, 32.42 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:12.280, P0, 64, 93 %, 45.56 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:12.484, P0, 64, 47 %, 42.97 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:12.690, P0, 64, 99 %, 51.70 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:12.926, P0, 55, 27 %, 21.60 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:13.130, P0, 55, 52 %, 62.47 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:13.333, P0, 55, 99 %, 71.20 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:13.538, P0, 66, 99 %, 69.11 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:13.743, P0, 66, 19 %, 63.87 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:13.972, P0, 66, 99 %, 71.20 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:14.197, P0, 62, 94 %, 71.36 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:14.401, P0, 62, 2 %, 57.09 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:14.607, P0, 62, 68 %, 86.64 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:14.834, P0, 67, 99 %, 87.72 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:15.040, P0, 67, 99 %, 87.87 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:15.245, P0, 67, 40 %, 74.32 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:15.449, P0, 54, 33 %, 65.43 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:15.659, P0, 54, 99 %, 87.45 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:15.863, P0, 54, 99 %, 87.93 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:16.067, P0, 69, 75 %, 23.93 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:16.274, P0, 69, 1 %, 25.48 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:16.479, P0, 69, 59 %, 49.21 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:16.684, P0, 52, 100 %, 57.94 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:16.888, P0, 52, 100 %, 63.25 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:17.091, P0, 52, 100 %, 66.58 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:17.295, P0, 66, 100 %, 75.89 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:17.499, P0, 66, 100 %, 80.89 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:17.704, P0, 66, 100 %, 81.05 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:17.908, P0, 66, 68 %, 70.88 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:18.112, P0, 66, 1 %, 63.42 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:18.316, P0, 66, 70 %, 80.59 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:18.520, P0, 63, 100 %, 80.78 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:18.723, P0, 63, 100 %, 80.96 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:18.928, P0, 63, 100 %, 81.08 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:19.132, P0, 66, 100 %, 81.15 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:19.337, P0, 66, 100 %, 81.22 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:19.541, P0, 66, 100 %, 81.36 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:19.745, P0, 67, 58 %, 71.68 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:19.949, P0, 67, 8 %, 60.92 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:20.153, P0, 67, 44 %, 89.87 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:20.358, P0, 55, 63 %, 52.73 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:20.562, P0, 55, 83 %, 61.24 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:20.766, P0, 55, 55 %, 52.69 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:20.970, P0, 59, 99 %, 76.98 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:21.200, P0, 59, 99 %, 76.50 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:21.409, P0, 59, 15 %, 22.82 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:21.614, P0, 64, 72 %, 77.21 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:21.834, P0, 64, 99 %, 77.43 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:22.038, P0, 64, 95 %, 76.20 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:22.242, P0, 66, 2 %, 57.44 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:22.445, P0, 66, 64 %, 60.35 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:22.649, P0, 66, 99 %, 96.09 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:22.853, P0, 72, 68 %, 26.58 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:23.088, P0, 72, 2 %, 56.09 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:23.292, P0, 72, 98 %, 76.89 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:23.497, P0, 71, 99 %, 77.64 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:23.701, P0, 71, 34 %, 64.80 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:23.905, P0, 71, 2 %, 74.62 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:24.110, P0, 54, 98 %, 75.03 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:24.326, P0, 54, 100 %, 75.63 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:24.530, P0, 54, 100 %, 77.37 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:24.742, P0, 65, 100 %, 76.17 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:24.946, P0, 65, 100 %, 76.06 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:25.150, P0, 65, 100 %, 76.55 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:25.355, P0, 66, 100 %, 65.67 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:25.559, P0, 66, 31 %, 24.14 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:25.764, P0, 66, 100 %, 50.54 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:25.970, P0, 63, 100 %, 65.51 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:26.221, P0, 63, 100 %, 68.58 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:26.425, P0, 66, 100 %, 76.03 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:26.629, P0, 66, 100 %, 76.26 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:26.834, P0, 66, 100 %, 76.30 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:27.038, P0, 66, 100 %, 76.27 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:27.242, P0, 66, 23 %, 22.29 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:27.447, P0, 66, 6 %, 22.18 W, 2565 MHz, 8101 MHz
