timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 17:47:41.990, P0, 62, 100 %, 75.26 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:42.193, P0, 62, 100 %, 75.10 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:42.397, P0, 63, 100 %, 75.32 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:42.601, P0, 63, 98 %, 21.76 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:42.806, P0, 63, 37 %, 33.15 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:43.010, P0, 59, 100 %, 74.59 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:43.223, P0, 59, 100 %, 74.88 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:43.430, P0, 59, 100 %, 75.02 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:43.634, P0, 63, 100 %, 75.17 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:43.839, P0, 63, 100 %, 75.27 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:44.043, P0, 63, 100 %, 75.19 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:44.247, P0, 64, 90 %, 73.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:44.451, P0, 64, 2 %, 58.91 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:44.656, P0, 64, 15 %, 51.51 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:44.860, P0, 53, 99 %, 57.23 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:45.064, P0, 53, 45 %, 65.81 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:45.281, P0, 53, 99 %, 84.24 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:45.485, P0, 54, 14 %, 57.26 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:45.689, P0, 54, 64 %, 57.90 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:45.893, P0, 54, 99 %, 64.57 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:46.097, P0, 68, 99 %, 85.38 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:46.330, P0, 68, 5 %, 38.23 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:46.534, P0, 68, 86 %, 56.51 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:46.738, P0, 64, 99 %, 64.69 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:46.942, P0, 64, 81 %, 59.60 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:47.146, P0, 64, 1 %, 56.32 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:47.350, P0, 58, 81 %, 68.16 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:47.555, P0, 58, 99 %, 88.46 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:47.758, P0, 58, 99 %, 78.15 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:47.962, P0, 54, 26 %, 55.73 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:48.165, P0, 54, 45 %, 62.90 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:48.370, P0, 54, 99 %, 68.55 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:48.574, P0, 70, 99 %, 72.21 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:48.779, P0, 70, 63 %, 61.91 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:48.983, P0, 70, 2 %, 60.68 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:49.188, P0, 53, 70 %, 65.96 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:49.392, P0, 53, 100 %, 65.08 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:49.596, P0, 53, 100 %, 63.75 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:49.800, P0, 66, 100 %, 72.11 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:50.004, P0, 66, 100 %, 81.22 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:50.207, P0, 66, 100 %, 81.50 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:50.429, P0, 62, 56 %, 77.00 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:50.691, P0, 62, 2 %, 21.77 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:50.895, P0, 62, 79 %, 53.43 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:51.099, P0, 65, 100 %, 66.53 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:51.303, P0, 65, 100 %, 70.35 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:51.507, P0, 65, 100 %, 72.62 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:51.711, P0, 67, 100 %, 78.90 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:51.915, P0, 67, 100 %, 81.67 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:52.119, P0, 67, 100 %, 78.57 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:52.323, P0, 68, 47 %, 23.81 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:52.529, P0, 68, 6 %, 22.12 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:52.733, P0, 68, 47 %, 53.16 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:52.937, P0, 56, 59 %, 90.02 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:53.141, P0, 56, 83 %, 64.47 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:53.345, P0, 56, 23 %, 45.40 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:53.548, P0, 60, 55 %, 55.97 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:53.753, P0, 60, 99 %, 61.38 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:53.958, P0, 60, 98 %, 40.19 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:54.174, P0, 66, 16 %, 43.39 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:54.378, P0, 66, 73 %, 77.51 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:54.588, P0, 66, 99 %, 77.74 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:54.792, P0, 67, 94 %, 22.79 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:54.996, P0, 67, 2 %, 31.70 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:55.200, P0, 67, 59 %, 95.76 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:55.404, P0, 73, 73 %, 26.91 W, 2550 MHz, 8101 MHz
2026/09/19 17:47:55.726, P0, 73, 2 %, 55.36 W, 2550 MHz, 8101 MHz
2026/09/19 17:47:55.930, P0, 72, 92 %, 96.43 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:56.135, P0, 72, 99 %, 27.05 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:56.341, P0, 72, 41 %, 23.62 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:56.545, P0, 55, 2 %, 71.05 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:56.751, P0, 55, 85 %, 74.07 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:56.955, P0, 55, 100 %, 76.01 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:57.159, P0, 66, 100 %, 76.31 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:57.364, P0, 66, 100 %, 76.33 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:57.568, P0, 66, 100 %, 76.46 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:57.771, P0, 67, 100 %, 77.12 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:57.976, P0, 67, 100 %, 72.53 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:58.180, P0, 67, 45 %, 24.07 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:58.384, P0, 67, 1 %, 67.41 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:58.590, P0, 67, 89 %, 75.44 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:58.795, P0, 67, 100 %, 76.22 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:58.999, P0, 67, 100 %, 77.73 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:59.204, P0, 67, 100 %, 76.53 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:59.429, P0, 67, 100 %, 76.64 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:59.637, P0, 67, 100 %, 76.85 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:59.840, P0, 67, 40 %, 55.22 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:00.070, P0, 67, 6 %, 22.81 W, 2580 MHz, 8101 MHz
2026/09/19 17:48:00.274, P0, 57, 40 %, 91.50 W, 2580 MHz, 8101 MHz
2026/09/19 17:48:00.489, P0, 57, 66 %, 68.02 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:00.693, P0, 57, 77 %, 70.50 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:00.900, P0, 56, 29 %, 26.68 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:01.129, P0, 56, 41 %, 78.23 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:01.333, P0, 56, 99 %, 77.79 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:01.536, P0, 68, 99 %, 49.37 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:01.756, P0, 68, 29 %, 24.93 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:01.961, P0, 68, 56 %, 78.08 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:02.165, P0, 66, 99 %, 78.41 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:02.370, P0, 66, 99 %, 27.33 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:02.580, P0, 66, 15 %, 22.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:02.790, P0, 58, 46 %, 96.18 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:02.995, P0, 58, 99 %, 74.29 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:03.198, P0, 58, 1 %, 44.92 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:03.405, P0, 70, 83 %, 96.53 W, 2565 MHz, 8101 MHz
