timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:49:52.978, P0, 44, 45 %, 23.41 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:53.186, P0, 44, 33 %, 20.59 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:53.390, P0, 44, 9 %, 33.81 W, 2535 MHz, 8101 MHz
2026/09/19 12:49:53.593, P0, 44, 62 %, 31.42 W, 2535 MHz, 8101 MHz
2026/09/19 12:49:53.797, P0, 44, 5 %, 29.02 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.001, P0, 45, 16 %, 35.10 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.206, P0, 45, 15 %, 25.62 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.410, P0, 45, 27 %, 28.45 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.614, P0, 46, 23 %, 20.90 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.819, P0, 46, 31 %, 32.49 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.095, P0, 45, 2 %, 28.57 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.299, P0, 45, 31 %, 31.41 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.504, P0, 45, 2 %, 28.56 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.708, P0, 49, 77 %, 31.88 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.911, P0, 49, 2 %, 20.74 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:56.116, P0, 49, 47 %, 39.61 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:56.320, P0, 48, 24 %, 33.47 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:56.525, P0, 48, 8 %, 32.20 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:56.730, P0, 48, 17 %, 31.38 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:56.934, P0, 49, 14 %, 31.38 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:57.139, P0, 49, 27 %, 27.60 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:57.343, P0, 49, 27 %, 28.91 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:57.547, P0, 45, 2 %, 30.74 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:57.751, P0, 45, 31 %, 30.33 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:57.955, P0, 45, 7 %, 46.43 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:58.158, P0, 46, 25 %, 28.45 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:58.363, P0, 46, 13 %, 32.91 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:58.567, P0, 46, 66 %, 30.77 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:58.771, P0, 45, 2 %, 30.88 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:58.975, P0, 45, 68 %, 34.01 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:59.180, P0, 45, 2 %, 33.20 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:59.384, P0, 45, 6 %, 21.17 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:59.590, P0, 45, 24 %, 27.00 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:59.795, P0, 45, 4 %, 30.30 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:59.998, P0, 51, 25 %, 29.94 W, 2580 MHz, 8101 MHz
2026/09/19 12:50:00.202, P0, 51, 28 %, 21.64 W, 2580 MHz, 8101 MHz
2026/09/19 12:50:00.406, P0, 51, 8 %, 32.10 W, 2580 MHz, 8101 MHz
2026/09/19 12:50:00.611, P0, 45, 25 %, 31.35 W, 2580 MHz, 8101 MHz
2026/09/19 12:50:00.816, P0, 45, 2 %, 28.11 W, 2250 MHz, 8101 MHz
2026/09/19 12:50:01.020, P0, 45, 66 %, 30.39 W, 2250 MHz, 8101 MHz
2026/09/19 12:50:01.240, P0, 46, 14 %, 29.99 W, 2580 MHz, 8101 MHz
2026/09/19 12:50:01.444, P0, 46, 27 %, 29.42 W, 2580 MHz, 8101 MHz
